ISIN,Nome,Allocation
IE00BD5CTX77,BNY Mellon Global Short-Dated High Yield Bond,"5,00%"
LU0297942434,BGF Global Corporate Bond Fund A2 EUR H,"7,50%"
XS3188157393,12M EUR BO INVERSE BRCN ON NVDA AND AMD,"2,00%"
XS3188156668,12M EUR WOM Phoenix AC on NVDA and AMD 9,"2,00%"
IE0003867441E,BNY Mellon Small Cap Euroland Fund EUR A Acc,"5,00%"
IE00B3ZW0K18,iShares S&P 500 EUR Hedged UCITS ETF (Acc),"5,00%"
LU0360484769,Morgan Stanley Investment Funds - US Advantag,"2,50%"
FR0007054358,Amundi EURO STOXX 50 II UCITS ETF Acc,"7,50%"
LU1775980201,Invesco UK Equity Fund E EUR,"5,00%"
LU0140363002,Franklin Mutual European Fund A(acc) EUR,"10,00%"
LU1650492330,Amundi FTSE 100 UCITS ETF EUR Hedged Acc,"2,50%"
LU0248184466,Schroder ISF Asian Opportunities EUR A Acc,"7,50%"
LU0106817157,Schroder SISF Emerging Europe Fund EUR A Acc,"7,50%"
IE00BYXW4642,CIM Dividend Income Fund C Ordinary Shares,"2,50%"
LU0359201455,BGF China Hedged A2 EUR,"2,50%"
LU0512094193,Morgan Stanley Investment Funds - Japanese Equity,"2,50%"
IE0009JOT9U1,iShares Physical Gold EUR Hedged ETC,"2,00%"
IE000NVDQXE1,First Trust Indxx Global Aerospace & Defence,"2,50%"
IE000BN4N0T47,FTGF ClearBridge Global Infrastructure Income Fund,"5,00%"
US37960A3703,Global X U.S. Electrification ETF (USD),"4,00%"
IE000YYE6WK5B,VanEck Defense UCITS ETF EUR,"5,00%"
JE00B24DKH53B,WisdomTree Natural Gas 1x Daily Short EUR,"0,00%"
Cash Equiv/Money Market,-,"5,00%"
